Id,Monthly rent payment, number of all rooms in the house,persons younger than 12 years of age,years of schooling,=1 if predominant material on the outside wall is block or brick,"=1 if predominant material on the floor is mosaic, ceramic, terrazo",=1 if the house has ceiling,=1 if floor are good,Number of children 0 to 19 in household,years of education of male head of household,average years of education for adults (18+),# persons per room,=1 if the household has notebook or desktop computer,# of mobile phones,escolari squared,edjefe squared,hogar_nin squared,overcrowding squared,dependency squared,meaned squared,Target
ID_279628684,190000,3,0,10,1,1,1,0,0,10,10,1,0,1,100,100,0,1,0,100,4
ID_f29eb3ddd,135000,4,0,12,0,0,1,0,0,12,12,1,0,1,144,144,0,1,64,144,4
ID_68de51c94,0,8,0,11,0,1,1,1,0,0,11,0.5,0,0,121,0,0,0.25,64,121,4
ID_d671db89c,180000,5,1,9,1,1,1,1,2,11,11,"13.333.334,00",0,3,81,121,4,"17.777.778.999.999.900,00",1,121,4
ID_d56d6f5f5,180000,5,1,11,1,1,1,1,2,11,11,"13.333.334,00",0,3,121,121,4,"17.777.778.999.999.900,00",1,121,4
ID_ec05b1a7b,180000,5,1,11,1,1,1,1,2,11,11,"13.333.334,00",0,3,121,121,4,"17.777.778.999.999.900,00",1,121,4
ID_e9e0c1100,180000,5,1,2,1,1,1,1,2,11,11,"13.333.334,00",0,3,4,121,4,"17.777.778.999.999.900,00",1,121,4
ID_3e04e571e,130000,2,2,0,1,1,1,0,2,9,10,4,0,1,0,81,4,16,1,100,4
ID_1284f8aad,130000,2,2,9,1,1,1,0,2,9,10,4,0,1,81,81,4,16,1,100,4
ID_51f52fdd2,130000,2,2,11,1,1,1,0,2,9,10,4,0,1,121,81,4,16,1,100,4
ID_db44f5c59,130000,2,2,3,1,1,1,0,2,9,10,4,0,1,9,81,4,16,1,100,4
ID_de822510c,1e+05,3,0,12,0,1,1,1,1,0,23,1,0,1,144,0,1,1,1,529,4
ID_d94071d7c,1e+05,3,0,11,0,1,1,1,1,0,23,1,0,1,121,0,1,1,1,529,4
ID_064b57869,0,4,0,4,0,0,0,0,0,0,9.5,1,0,1,16,0,0,1,1,90.25,4
ID_5c837d8a4,0,4,0,15,0,0,0,0,0,0,9.5,1,0,1,225,0,0,1,1,90.25,4
ID_0a39e419e,90000,2,0,11,0,0,1,0,2,0,17,4,0,1,121,0,4,16,9,289,4
ID_4ff51f90c,90000,2,0,2,0,0,1,0,2,0,17,4,0,1,4,0,4,16,9,289,4
ID_336c51386,90000,2,0,11,0,0,1,0,2,0,17,4,0,1,121,0,4,16,9,289,4
ID_c51938edf,90000,2,0,10,0,0,1,0,2,0,17,4,0,1,100,0,4,16,9,289,4
ID_35b66f7c6,215000,4,0,12,1,1,1,1,0,15,13.5,1,0,2,144,225,0,1,0,182.25,4
ID_74a2bc523,215000,4,0,15,1,1,1,1,0,15,13.5,1,0,2,225,225,0,1,0,182.25,4
ID_15d393ce7,150000,3,0,4,0,0,1,0,0,4,10,2,0,1,16,16,0,4,64,100,4
ID_a0bff0ba7,150000,3,0,16,0,0,1,0,0,4,10,2,0,1,256,16,0,4,64,100,4
ID_848b0fdf1,1e+05,1,0,6,1,1,1,1,0,6,10.33,3,0,3,36,36,0,9,0,"10.677.777,00",4
ID_298d857e5,1e+05,1,0,13,1,1,1,1,0,6,10.33,3,0,3,169,36,0,9,0,"10.677.777,00",4
ID_1d5bf8ddf,1e+05,1,0,12,1,1,1,1,0,6,10.33,3,0,3,144,36,0,9,0,"10.677.777,00",4
ID_e5cdba865,0,5,0,15,0,0,0,0,0,15,15,0.5,0,2,225,225,0,0.25,0,225,4
ID_e18530139,120000,4,0,6,1,1,1,1,0,6,6.67,"45.047,00",0,3,36,36,0,"45.689,00",0.25,"44.444.443,00",4
ID_cba035c44,120000,4,0,6,1,1,1,1,0,6,6.67,"45.047,00",0,3,36,36,0,"45.689,00",0.25,"44.444.443,00",4
ID_b6c1c7e65,120000,4,0,8,1,1,1,1,0,6,6.67,"45.047,00",0,3,64,36,0,"45.689,00",0.25,"44.444.443,00",4
ID_96b1fbc81,1e+05,5,0,8,1,1,1,1,0,8,9.5,1,0,2,64,64,0,1,0,90.25,4
ID_422226730,1e+05,5,0,11,1,1,1,1,0,8,9.5,1,0,2,121,64,0,1,0,90.25,4
ID_e24d9c3c9,0,5,0,1,0,1,1,1,1,11,5.25,"16.666.666,00",0,3,1,121,1,"27.777.777,00",6.25E-2,"275.625,00",4
ID_be1c0c929,0,5,0,11,0,1,1,1,1,11,5.25,"16.666.666,00",0,3,121,121,1,"27.777.777,00",6.25E-2,"275.625,00",4
ID_18ffaadc6,0,5,0,6,0,1,1,1,1,11,5.25,"16.666.666,00",0,3,36,121,1,"27.777.777,00",6.25E-2,"275.625,00",4
ID_beb36ce09,0,5,0,0,0,1,1,1,1,11,5.25,"16.666.666,00",0,3,0,121,1,"27.777.777,00",6.25E-2,"275.625,00",4
ID_57b05a403,0,5,0,3,0,1,1,1,1,11,5.25,"16.666.666,00",0,3,9,121,1,"27.777.777,00",6.25E-2,"275.625,00",4
ID_01f1e94b3,80000,4,0,6,0,0,1,0,1,8,7,"45.047,00",0,2,36,64,1,"45.689,00",0.25,49,4
ID_0f01e18e9,80000,4,0,8,0,0,1,0,1,8,7,"45.047,00",0,2,64,64,1,"45.689,00",0.25,49,4
ID_e73a7a162,80000,4,0,8,0,0,1,0,1,8,7,"45.047,00",0,2,64,64,1,"45.689,00",0.25,49,4
ID_488b8ac27,90000,5,0,9,0,0,1,1,0,0,11,1,0,2,81,0,0,1,0,121,4
ID_1f68e9b45,90000,5,0,13,0,0,1,1,0,0,11,1,0,2,169,0,0,1,0,121,4
ID_e3869ade2,0,8,0,8,1,0,1,1,1,0,15.5,1,1,3,64,0,1,1,4,240.25,4
ID_451a7e35a,0,8,0,15,1,0,1,1,1,0,15.5,1,1,3,225,0,1,1,4,240.25,4
ID_cf3c3d7ec,0,8,0,16,1,0,1,1,1,0,15.5,1,1,3,256,0,1,1,4,240.25,4
ID_feda408ee,0,4,0,17,0,0,1,0,0,17,10,1,0,1,289,289,0,1,64,100,4
ID_4dd2eaeba,0,4,0,3,0,0,1,0,0,17,10,1,0,1,9,289,0,1,64,100,4
ID_34d68201f,0,5,1,16,0,1,1,1,1,11,13.5,"45.047,00",0,2,256,121,1,"45.689,00",0.25,182.25,4
ID_839160e1d,0,5,1,2,0,1,1,1,1,11,13.5,"45.047,00",0,2,4,121,1,"45.689,00",0.25,182.25,4
ID_340865cda,0,5,1,11,0,1,1,1,1,11,13.5,"45.047,00",0,2,121,121,1,"45.689,00",0.25,182.25,4
ID_eb1d477b3,120000,5,1,2,0,0,1,0,2,11,11,2,0,2,4,121,4,4,1,121,2
ID_1edc6734e,120000,5,1,11,0,0,1,0,2,11,11,2,0,2,121,121,4,4,1,121,2
ID_68cdfd374,120000,5,1,8,0,0,1,0,2,11,11,2,0,2,64,121,4,4,1,121,2
ID_be0fdb30f,120000,5,1,11,0,0,1,0,2,11,11,2,0,2,121,121,4,4,1,121,2
ID_88d6dc9be,168000,5,1,6,1,1,1,1,2,0,9,"13.333.334,00",0,2,36,0,4,"17.777.778.999.999.900,00",1,81,4
ID_e2d67d5bb,168000,5,1,2,1,1,1,1,2,0,9,"13.333.334,00",0,2,4,0,4,"17.777.778.999.999.900,00",1,81,4
ID_39794350a,168000,5,1,7,1,1,1,1,2,0,9,"13.333.334,00",0,2,49,0,4,"17.777.778.999.999.900,00",1,81,4
ID_91fc6ef60,168000,5,1,11,1,1,1,1,2,0,9,"13.333.334,00",0,2,121,0,4,"17.777.778.999.999.900,00",1,81,4
ID_a0fb0a5c4,40000,1,0,7,0,0,1,1,0,7,7,1,0,0,49,49,0,1,64,49,2
ID_b00eafd98,155000,3,0,14,1,1,1,1,0,0,10,2,0,2,196,0,0,4,0,100,4
ID_332252b98,155000,3,0,6,1,1,1,1,0,0,10,2,0,2,36,0,0,4,0,100,4
ID_1db0ed392,0,6,0,14,1,1,1,1,0,0,13,1,1,3,196,0,0,1,0.25,169,4
ID_c70e4a951,0,6,0,11,1,1,1,1,0,0,13,1,1,3,121,0,0,1,0.25,169,4
ID_f1a8c2996,0,6,0,14,1,1,1,1,0,0,13,1,1,3,196,0,0,1,0.25,169,4
ID_6e9d356d7,0,6,0,9,0,1,1,0,0,0,9,0.33333333999999998,0,1,81,0,0,0.11111111999999999,64,81,2
ID_5a72ab074,2e+05,3,2,9,1,1,1,0,2,9,9,"45.048,00",0,5,81,81,4,"45.809,00",0.44444447999999998,81,4
ID_18e808ee5,2e+05,3,2,5,1,1,1,0,2,9,9,"45.048,00",0,5,25,81,4,"45.809,00",0.44444447999999998,81,4
ID_bd34e0c6a,2e+05,3,2,0,1,1,1,0,2,9,9,"45.048,00",0,5,0,81,4,"45.809,00",0.44444447999999998,81,4
ID_b8802d92d,2e+05,3,2,9,1,1,1,0,2,9,9,"45.048,00",0,5,81,81,4,"45.809,00",0.44444447999999998,81,4
ID_5cba5f4d4,2e+05,3,2,9,1,1,1,0,2,9,9,"45.048,00",0,5,81,81,4,"45.809,00",0.44444447999999998,81,4
ID_c5bfe390e,0,6,1,0,1,1,1,1,1,15,14,2,1,2,0,225,1,4,1,196,4
ID_f70aba49f,0,6,1,15,1,1,1,1,1,15,14,2,1,2,225,225,1,4,1,196,4
