Id;Monthly rent payment; number of all rooms in the house;persons younger than 12 years of age;years of schooling;=1 if predominant material on the outside wall is block or brick;=1 if predominant material on the floor is mosaic, ceramic, terrazo;=1 if the house has ceiling;=1 if floor are good;Number of children 0 to 19 in household;years of education of male head of household;average years of education for adults (18+);# persons per room;=1 if the household has notebook or desktop computer;# of mobile phones;escolari squared;edjefe squared;hogar_nin squared;overcrowding squared;dependency squared;meaned squared;Target
ID_279628684;190000.0;3,00;0,00;10,00;1;1;1;0;0,00;10,00;10,00;1.0;0,00;1,00;100,00;100,00;0,00;1.0;0.0;100.0;4,00
ID_f29eb3ddd;135000.0;4,00;0,00;12,00;0,00;0,00;1,00;0,00;0,00;12,00;12,00;1.0;0,00;1,00;144,00;144,00;0,00;1.0;64.0;144.0;4,00
ID_68de51c94;;8,00;0,00;11,00;0,00;1,00;1,00;1,00;0,00;no;11,00;0.5;0,00;0,00;121,00;0,00;0,00;0.25;64.0;121.0;4,00
ID_d671db89c;180000.0;5,00;1,00;9,00;1,00;1,00;1,00;1,00;2,00;11,00;11,00;13.333.334,00;0,00;3,00;81,00;121,00;4,00;17.777.778.999.999.900,00;1.0;121.0;4,00
ID_d56d6f5f5;180000.0;5,00;1,00;11,00;1,00;1,00;1,00;1,00;2,00;11,00;11,00;13.333.334,00;0,00;3,00;121,00;121,00;4,00;17.777.778.999.999.900,00;1.0;121.0;4,00
ID_ec05b1a7b;180000.0;5,00;1,00;11,00;1,00;1,00;1,00;1,00;2,00;11,00;11,00;13.333.334,00;0,00;3,00;121,00;121,00;4,00;17.777.778.999.999.900,00;1.0;121.0;4,00
ID_e9e0c1100;180000.0;5,00;1,00;2,00;1,00;1,00;1,00;1,00;2,00;11,00;11,00;13.333.334,00;0,00;3,00;4,00;121,00;4,00;17.777.778.999.999.900,00;1.0;121.0;4,00
ID_3e04e571e;130000.0;2,00;2,00;0,00;1,00;1,00;1,00;0,00;2,00;9,00;10,00;4.0;0,00;1,00;0,00;81,00;4,00;16.0;1.0;100.0;4,00
ID_1284f8aad;130000.0;2,00;2,00;9,00;1,00;1,00;1,00;0,00;2,00;9,00;10,00;4.0;0,00;1,00;81,00;81,00;4,00;16.0;1.0;100.0;4,00
ID_51f52fdd2;130000.0;2,00;2,00;11,00;1,00;1,00;1,00;0,00;2,00;9,00;10,00;4.0;0,00;1,00;121,00;81,00;4,00;16.0;1.0;100.0;4,00
ID_db44f5c59;130000.0;2,00;2,00;3,00;1,00;1,00;1,00;0,00;2,00;9,00;10,00;4.0;0,00;1,00;9,00;81,00;4,00;16.0;1.0;100.0;4,00
ID_de822510c;100000.0;3,00;0,00;12,00;0,00;1,00;1,00;1,00;1,00;no;23,00;1.0;0,00;1,00;144,00;0,00;1,00;1.0;1.0;529.0;4,00
ID_d94071d7c;100000.0;3,00;0,00;11,00;0,00;1,00;1,00;1,00;1,00;no;23,00;1.0;0,00;1,00;121,00;0,00;1,00;1.0;1.0;529.0;4,00
ID_064b57869;;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;no;9,50;1.0;0,00;1,00;16,00;0,00;0,00;1.0;1.0;90.25;4,00
ID_5c837d8a4;;4,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;no;9,50;1.0;0,00;1,00;225,00;0,00;0,00;1.0;1.0;90.25;4,00
ID_0a39e419e;90000.0;2,00;0,00;11,00;0,00;0,00;1,00;0,00;2,00;no;17,00;4.0;0,00;1,00;121,00;0,00;4,00;16.0;9.0;289.0;4,00
ID_4ff51f90c;90000.0;2,00;0,00;2,00;0,00;0,00;1,00;0,00;2,00;no;17,00;4.0;0,00;1,00;4,00;0,00;4,00;16.0;9.0;289.0;4,00
ID_336c51386;90000.0;2,00;0,00;11,00;0,00;0,00;1,00;0,00;2,00;no;17,00;4.0;0,00;1,00;121,00;0,00;4,00;16.0;9.0;289.0;4,00
ID_c51938edf;90000.0;2,00;0,00;10,00;0,00;0,00;1,00;0,00;2,00;no;17,00;4.0;0,00;1,00;100,00;0,00;4,00;16.0;9.0;289.0;4,00
